Camellia_crassicolumna_var._crassicolumna	Camellia_fangchengensis	Camellia_grandibracteata	Camellia_kwangsiensis	Camellia_leptophylla	Camellia_ptilophylla	Camellia_pubicosta	Camellia_reticulata	Camellia_sinensis_var._assamica	Camellia_sinensis_var._dehungensis	Camellia_sinensis_var._pubilimba	Camellia_sinensis_var._sinensis	Camellia_tachangensis	Camellia_taliensis7
Camellia_crassicolumna_var._crassicolumna	0.0	0.0034589184451143465	0.0036537228352194065	0.0033866698904103194	0.003849695883634016	0.003235960076193252	0.0036856767558454155	0.00343028934019215	0.0038039029031659	0.003849695883634016	0.0034893012964382474	0.003924788999159901	0.006214237435226488	0.003929380288677923
Camellia_fangchengensis	0.0034589184451143465	0.0	0.0016275140768451444	0.002768359088864307	0.001747469201689319	0.001688567274666373	0.0015984310558781831	0.001508821885337086	0.0017770308517029623	0.001747469201689319	0.0013886818959172936	0.0018222381656527366	0.005618791553657264	0.0019891034775640715
Camellia_grandibracteata	0.0036537228352194065	0.0016275140768451444	0.0	0.0027531202984964805	0.0006865433026527331	0.0014342705280950224	0.00020892819969356837	0.0009108919896006156	0.0002088222439010498	0.0007611372938908958	0.00041781483925279174	0.00083580019097249	0.005573050799461235	0.0011658672362501834
Camellia_kwangsiensis	0.0033866698904103194	0.002768359088864307	0.0027531202984964805	0.0	0.002873093731566256	0.0022595899952229164	0.0027545628408806202	0.0025289834214187357	0.002903079788053919	0.002873093731566256	0.0025135049483188203	0.0029480611208143374	0.0054989879446073215	0.0030718403032011215
Camellia_leptophylla	0.003849695883634016	0.001747469201689319	0.0006865433026527331	0.002873093731566256	0.0	0.0017330857620670818	0.000686902119672213	0.0010005028885545957	0.0008060183473240568	-0.0	0.00050730117718199	7.456824989488925e-05	0.005708847690895748	0.001494984822582377
Camellia_ptilophylla	0.003235960076193252	0.001688567274666373	0.0014342705280950224	0.0022595899952229164	0.0017330857620670818	0.0	0.0014350209167330855	0.001479688400327932	0.001553940191324765	0.0017330857620670818	0.0013742902103050206	0.0018078778401521283	0.005424000321712758	0.0018103121726834562
Camellia_pubicosta	0.0036856767558454155	0.0015984310558781831	0.00020892819969356837	0.0027545628408806202	0.000686902119672213	0.0014350209167330855	0.0	0.0009113683098765234	0.00035820361571038423	0.000686902119672213	0.0004180331648328897	0.0007616033149531228	0.005621240636782484	0.0011664774738783107
Camellia_reticulata	0.00343028934019215	0.001508821885337086	0.0009108919896006156	0.0025289834214187357	0.0010005028885545957	0.001479688400327932	0.0009113683098765234	0.0	0.0010304507228722855	0.0010005028885545957	0.0006419028580824018	0.001075220828393768	0.005348205382605298	0.0012857573167940671
Camellia_sinensis_var._assamica	0.0038039029031659	0.0017770308517029623	0.0002088222439010498	0.002903079788053919	0.0008060183473240568	0.001553940191324765	0.00035820361571038423	0.0010304507228722855	0.0	0.0008060183473240568	0.000537241289070883	0.0008806935104265538	0.005739009509054198	0.001046207667468833
Camellia_sinensis_var._dehungensis	0.003849695883634016	0.001747469201689319	0.0007611372938908958	0.002873093731566256	-0.0	0.0017330857620670818	0.000686902119672213	0.0010005028885545957	0.0008060183473240568	0.0	0.00050730117718199	7.456157798321449e-05	0.005708847690895748	0.001494984822582377
Camellia_sinensis_var._pubilimba	0.0034893012964382474	0.0013886818959172936	0.00041781483925279174	0.0025135049483188203	0.00050730117718199	0.0013742902103050206	0.0004180331648328897	0.0006419028580824018	0.000537241289070883	0.00050730117718199	0.0	0.0005819332411683864	0.005377470802274409	0.001195534931130698
Camellia_sinensis_var._sinensis	0.003924788999159901	0.0018222381656527366	0.00083580019097249	0.0029480611208143374	7.456824989488925e-05	0.0018078778401521283	0.0007616033149531228	0.001075220828393768	0.0008806935104265538	7.456157798321449e-05	0.0005819332411683864	0.0	0.005784254510752018	0.0015698123452049383
Camellia_tachangensis	0.006214237435226488	0.005618791553657264	0.005573050799461235	0.0054989879446073215	0.005708847690895748	0.005424000321712758	0.005621240636782484	0.005348205382605298	0.005739009509054198	0.005708847690895748	0.005377470802274409	0.005784254510752018	0.0	0.005881999630651544
Camellia_taliensis7	0.003929380288677923	0.0019891034775640715	0.0011658672362501834	0.0030718403032011215	0.001494984822582377	0.0018103121726834562	0.0011664774738783107	0.0012857573167940671	0.001046207667468833	0.001494984822582377	0.001195534931130698	0.0015698123452049383	0.005881999630651544	0.0
