Camellia_crassicolumna_var._crassicolumna	Camellia_fangchengensis	Camellia_grandibracteata	Camellia_kwangsiensis	Camellia_leptophylla	Camellia_ptilophylla	Camellia_pubicosta	Camellia_reticulata	Camellia_sinensis_var._assamica	Camellia_sinensis_var._dehungensis	Camellia_sinensis_var._pubilimba	Camellia_sinensis_var._sinensis	Camellia_tachangensis	Camellia_taliensis7
Camellia_crassicolumna_var._crassicolumna	0.000000	0.003459	0.003654	0.003387	0.003850	0.003236	0.003686	0.003430	0.003804	0.003850	0.003489	0.003925	0.006214	0.003929
Camellia_fangchengensis	0.003459	0.000000	0.001628	0.002768	0.001747	0.001689	0.001598	0.001509	0.001777	0.001747	0.001389	0.001822	0.005619	0.001989
Camellia_grandibracteata	0.003654	0.001628	0.000000	0.002753	0.000687	0.001434	0.000209	0.000911	0.000209	0.000761	0.000418	0.000836	0.005573	0.001166
Camellia_kwangsiensis	0.003387	0.002768	0.002753	0.000000	0.002873	0.002260	0.002755	0.002529	0.002903	0.002873	0.002514	0.002948	0.005499	0.003072
Camellia_leptophylla	0.003850	0.001747	0.000687	0.002873	0.000000	0.001733	0.000687	0.001001	0.000806	-0.000000	0.000507	0.000075	0.005709	0.001495
Camellia_ptilophylla	0.003236	0.001689	0.001434	0.002260	0.001733	0.000000	0.001435	0.001480	0.001554	0.001733	0.001374	0.001808	0.005424	0.001810
Camellia_pubicosta	0.003686	0.001598	0.000209	0.002755	0.000687	0.001435	0.000000	0.000911	0.000358	0.000687	0.000418	0.000762	0.005621	0.001166
Camellia_reticulata	0.003430	0.001509	0.000911	0.002529	0.001001	0.001480	0.000911	0.000000	0.001030	0.001001	0.000642	0.001075	0.005348	0.001286
Camellia_sinensis_var._assamica	0.003804	0.001777	0.000209	0.002903	0.000806	0.001554	0.000358	0.001030	0.000000	0.000806	0.000537	0.000881	0.005739	0.001046
Camellia_sinensis_var._dehungensis	0.003850	0.001747	0.000761	0.002873	-0.000000	0.001733	0.000687	0.001001	0.000806	0.000000	0.000507	0.000075	0.005709	0.001495
Camellia_sinensis_var._pubilimba	0.003489	0.001389	0.000418	0.002514	0.000507	0.001374	0.000418	0.000642	0.000537	0.000507	0.000000	0.000582	0.005377	0.001196
Camellia_sinensis_var._sinensis	0.003925	0.001822	0.000836	0.002948	0.000075	0.001808	0.000762	0.001075	0.000881	0.000075	0.000582	0.000000	0.005784	0.001570
Camellia_tachangensis	0.006214	0.005619	0.005573	0.005499	0.005709	0.005424	0.005621	0.005348	0.005739	0.005709	0.005377	0.005784	0.000000	0.005882
Camellia_taliensis7	0.003929	0.001989	0.001166	0.003072	0.001495	0.001810	0.001166	0.001286	0.001046	0.001495	0.001196	0.001570	0.005882	0.000000
