	Brachythecium_salebrosum_AY184761	Climacium_americanum_CanadaNovaScotia_SB4491	Climacium_americanum_USAFlorida_SB4492	Climacium_americanum_USAGeorgia_SB4482	Climacium_americanum_USAGeorgia_SB4483	Climacium_americanum_USAGeorgia_SB4484	Climacium_americanum_USAIllinois_SB4485	Climacium_americanum_USAIndiana_SB4486	Climacium_americanum_USANewHampshire_SB4384	Climacium_americanum_USANewYork_SB4487	Climacium_americanum_USANorthCarolina_SB4382	Climacium_americanum_USATennessee_SB4490	Climacium_americanum_USATexas_SB4488	Climacium_americanum_USAVermont_SB4489	Climacium_dendroides_485	Climacium_dendroides_489	Climacium_dendroides_515	Climacium_dendroides_547	Climacium_dendroides_CanadaBritishColumbia_SB4376	Climacium_dendroides_CanadaManitoba_SB4494	Climacium_dendroides_CanadaQuebec_SB4493	Climacium_dendroides_CanadaYukonTerritory_SB4505	Climacium_dendroides_China_SB4385	Climacium_dendroides_CzechRepublic_SB4512	Climacium_dendroides_CzechRepublic_SB4513	Climacium_dendroides_Finland_SB4495	Climacium_dendroides_Iceland_SB4497	Climacium_dendroides_Ireland_SB4511	Climacium_dendroides_Mexico_SB4375	Climacium_dendroides_NewZealand_SB4500	Climacium_dendroides_NewZealand_SB4501	Climacium_dendroides_Russia_SB4378	Climacium_dendroides_Russia_SB4514	Climacium_dendroides_Russia_SB4515	Climacium_dendroides_Sweden_SB4496	Climacium_dendroides_USAColorado_SB4498	Climacium_dendroides_USAIdaho_SB4504	Climacium_dendroides_USAMontana_SB4503	Climacium_dendroides_USAWashington_SB4502	Climacium_japonicum_351	Climacium_japonicum_516	Climacium_japonicum_China_SB4380	Climacium_japonicum_Japan_SB4379	Climacium_kindbergii_USAAlabama_SB4506	Climacium_kindbergii_USAMississippi_SB4507	Climacium_kindbergii_USANorthCarolina_SB4377	Climacium_kindbergii_USANorthCarolina_SB4381	Climacium_kindbergii_USAOhio_SB4508	Climacium_kindbergii_USASouthCarolina_SB4509	Climacium_kindbergii_USAVirginia_SB4510	Pleuroziopsis_sp._MDP494
Brachythecium_salebrosum_AY184761	0.0	0.03683050439988286	0.6604459757252044	0.035747644752728874	0.03548333557433516	0.03736675015262283	1.2270428990320332	1.6126177998586753	0.03622863379694978	0.0353006331434893	0.03304189434332123	0.037472449332931104	0.03834700989195318	0.036023873315253696	0.03628614624478711	0.03573740621178906	0.03566386152437522	0.034236888908433113	0.03566386152437522	0.03479323128858779	0.04407142202235761	0.03564877283409382	1.817653277558781	0.03598891302166561	0.03594768371163301	0.0349518801526844	0.03510695730411946	0.03594768371163301	0.03404938569515534	0.035407026497629585	0.03338830238336348	0.03999506605691402	0.03607484609580851	0.03594768371163301	0.03503008082733315	0.03594768371163301	1.259229882655034	1.2804451541459594	0.07889802765997572	0.03350173133562053	0.03343171844152833	0.03294970498594353	0.03557979380367043	1.5828016370079778	0.037472449332931104	0.03865023758638717	0.03622863379694978	0.038025288319163464	0.037571062346993436	0.03683050439988286	0.026587651154751188
Climacium_americanum_CanadaNovaScotia_SB4491	0.03683050439988286	0.0	0.35130291364770927	-0.0	0.0014212961733102427	-0.0	0.6907725579285386	0.4865215634918336	0.010321671982215397	0.0014202868488766677	0.00566708717583862	0.0017321023864968962	0.0014038375647605526	0.010102335740800158	0.010205436056957035	0.010095302108232873	0.010486014922755381	0.010467720513013905	0.010191090384709972	0.009343004659691068	0.01975097680221114	0.009924530449930814	1.823430957769685	0.009265096207246417	0.009026737518069679	0.009391263728427626	0.011619950743327997	0.009727988148371166	0.009615516321796075	0.009887148836158752	0.010085396300344742	0.010206281177908325	0.009851202965001747	0.009727988148371166	0.009415580702395999	0.00980635030474504	1.3678711361322082	1.2884910630639392	0.03426900487639854	0.01412304883413403	0.01341054432739423	0.013133321863631624	0.011417917950475516	1.2378618510828727	0.0010366276702137357	0.002670229789892903	0.0006957328884811309	-0.0	0.0010355541859199172	0.0017339043672340978	0.025182647012094002
Climacium_americanum_USAFlorida_SB4492	0.6604459757252044	0.35130291364770927	0.0	0.34850374030835085	0.3500429917465345	0.3554410928349029	0.643525434625982	0.4684230632536449	0.35259906723599493	0.3504745190370748	0.3648256279813735	0.3515182650050051	0.35293595579635295	0.3515182650050051	0.35010731906764414	0.3498933575185942	0.349342403142085	0.3514243608570809	0.3514243608570809	0.3481144306753432	1.0107292806008865	0.34884370838587514	1.575381093995356	0.35456166549626666	0.350658468526035	0.34743554075030775	1.3638207872326618	0.350658468526035	0.3597929409003021	0.34794914942477834	0.3563967860862415	0.5022674666769842	0.3581062454964453	0.350658468526035	0.4791155430241671	0.35346859457262314	1.605949442766131	1.582544524519387	0.35293595579635295	0.3535306596858584	0.3529808858013112	0.3543959663772036	0.4861367813938942	1.1776256314539477	0.35380568529647	0.4853148053875581	0.3521659351948322	0.48353987847722196	0.35207056980479956	0.3505664967349993	0.3570357620685254
Climacium_americanum_USAGeorgia_SB4482	0.035747644752728874	-0.0	0.34850374030835085	0.0	-0.0	-0.0	0.5580814479644152	0.48704458566347664	0.009790348812142703	0.0004643962996672642	0.006151454043075888	0.0004628915437788215	0.00046678078369959337	0.00938245230500445	0.009749440907729782	0.009740396645108392	0.010212133637404456	0.009273688478212406	0.009794915335956866	0.009343004659691068	0.0201489619454787	0.009957472010263474	1.7026252657680034	0.0094847928633939	0.009395675649497164	0.009408936320248754	0.011781748883239164	0.00938245230500445	0.00902909685224263	0.009962195807584711	0.009426675551335237	0.010515636181453712	0.009516384613739534	0.00938245230500445	0.009522048156804934	0.009457880693947188	1.3863995778133464	1.290025401494805	0.04175742464929906	0.01115780690522561	0.010684603123652233	0.01113192977844664	0.01180197444886103	1.2544960798692362	-0.0	-0.0	-0.0	-0.0	0.000468091761176802	-0.0	0.0120839174821364
Climacium_americanum_USAGeorgia_SB4483	0.03548333557433516	0.0014212961733102427	0.3500429917465345	-0.0	0.0	-0.0	0.6890565598857565	0.4874790265517516	0.009649882944937724	0.0007067970837619669	0.005032972751808282	0.0017732600765656694	0.000716161429446101	0.009674086116349229	0.009608672350650209	0.009928049473773654	0.009974024932829008	0.009959833348809618	0.00956781225057825	0.009408936320248754	0.01975097680221114	0.009981135901871347	1.8249494189104678	0.009534531711849325	0.009400091717921477	0.009493797653942598	0.011681652084936983	0.009313552519693659	0.008975693530772398	0.009962195807584711	0.009343676191531295	0.010355494462332528	0.00942155160448423	0.009313552519693659	0.009550467292643972	0.00939092452150019	1.384682925309838	1.282894182138274	0.0338608651209589	0.013558884977782862	0.012839115248835492	0.012609880324600954	0.011993059866963404	1.2392157752529158	0.00035570311314122563	0.0013404829305718137	0.0007018365233178505	-0.0	0.001067995908487001	0.0010676158386403014	0.024421597396528473
Climacium_americanum_USAGeorgia_SB4484	0.03736675015262283	-0.0	0.3554410928349029	-0.0	-0.0	0.0	0.5773928491090952	0.48704458566347664	0.009541246351851104	0.0004637502080049982	0.00597338124648626	0.00044977512592354624	0.0004601227138182107	0.00911311333688452	0.009468114921297302	0.009463847969408596	0.009913031066638248	0.009006412642548074	0.009515306607404416	0.009386855948872985	0.019790066379896165	0.00997165686093346	1.765063619094958	0.009364878970196132	0.00911726772272504	0.009466834431774712	0.01166925945021744	0.00910481591295791	0.008766633187734796	0.009952752690672523	0.009453410173453419	0.010163567252319499	0.009239414661831273	0.00910481591295791	0.0095561714887219	0.00911726772272504	1.401526752728885	1.3239128007530083	0.04187805726362628	0.010835402908328495	0.010371426358786413	0.010815870183994592	0.01135955074071215	1.2801117655562975	-0.0	-0.0	-0.0	-0.0	0.000461183719374156	-0.0	0.012195390653835219
Climacium_americanum_USAIllinois_SB4485	1.2270428990320332	0.6907725579285386	0.643525434625982	0.5580814479644152	0.6890565598857565	0.5773928491090952	0.0	0.5011561741595199	0.6909191491200023	0.703180950052883	0.6911178449765439	0.6911481889032834	0.6898670384594058	0.7029800616063318	0.706242418434932	0.7060036747939373	0.7077478819080403	0.7078980440836908	0.6999513555423914	0.5564530085470328	1.10497930358214	0.5728178138581205	0.7795748624770525	0.5584640124794545	0.5798553140949138	0.5656070064004	1.2616479500373963	0.7034680186219263	0.6941256428987862	0.5786805632101913	0.6932377820612878	0.44782491528658996	0.6963767628678948	0.7034680186219263	0.4593550618837178	0.7130290818153137	0.27817194403882217	0.3540033403364089	0.6415364840903719	0.7090979356702181	0.7095865286452616	0.7029915468929039	0.48504660095272273	0.6827586397420339	0.6946281303553966	0.6056884594203049	0.6819915469185461	0.442617250693078	0.6892189393765107	0.6950574513234199	0.693173393610908
Climacium_americanum_USAIndiana_SB4486	1.6126177998586753	0.4865215634918336	0.4684230632536449	0.48704458566347664	0.4874790265517516	0.48704458566347664	0.5011561741595199	0.0	0.4960191757610845	0.487296892103493	0.47299495664469865	0.4869542736429906	0.48704458566347664	0.4968008207982271	0.4970254435885335	0.49780454049309764	0.49903003096183896	0.49780454049309764	0.49780454049309764	0.4962461729897841	0.2702202877106949	0.4970254435885335	1.7921973524877564	0.4966907186977155	0.4962461729897841	0.4962461729897841	2.3999046583069377	0.4970254435885335	0.4780030140855215	0.4962461729897841	0.4780030140855215	0.33420433839585034	0.48426689140513873	0.4962461729897841	0.33420433839585034	0.4962461729897841	1.7576472137252344	1.5419178889555736	0.4966907186977155	0.4995784187621528	0.49835741727147426	0.49858346418176325	0.3391141665606131	1.230854252641421	0.48436455782886256	0.32596626929971495	0.48704458566347664	0.32596626929971495	0.487296892103493	0.48754769581772506	0.5020264013516148
Climacium_americanum_USANewHampshire_SB4384	0.03622863379694978	0.010321671982215397	0.35259906723599493	0.009790348812142703	0.009649882944937724	0.009541246351851104	0.6909191491200023	0.4960191757610845	0.0	0.009004790605860447	0.005283572397255851	0.00980635030474504	0.00967755362693088	0.0006986493285836225	0.0006930807932294608	0.0010362695949114862	0.0010402220807616156	0.0017339043672340978	0.000691164661286733	0.0004656938988493155	0.002010725064943368	0.0009471193050299275	1.8211308019392414	0.0004616094929533527	0.00045262524005026375	0.0004702931648064412	0.001077199467043106	0.00034924331248073926	0.0003500992011291064	0.0009484667719941078	0.0007189934642915316	0.0011630163214416181	0.0003529411829839482	0.00034924331248073926	0.0005937067398894263	0.0003521953574934663	1.3698217438894678	1.2882386228057496	0.024750517219184514	0.011170790637150822	0.010467720513013905	0.00984081597202291	0.008033741696195744	1.2453557540290825	0.009159343522128025	0.011189227374715827	0.009467166377280758	0.01018793132610939	0.009966924089012074	0.01000610434312267	0.02102450213782109
Climacium_americanum_USANewYork_SB4487	0.0353006331434893	0.0014202868488766677	0.3504745190370748	0.0004643962996672642	0.0007067970837619669	0.0004637502080049982	0.703180950052883	0.487296892103493	0.009004790605860447	0.0	0.005051131539774072	0.0010706639933890844	0.0007164179649225186	0.009681023624178066	0.009584794984799161	0.009564422923043426	0.009928049473773654	0.009917499881017072	0.00962580057865585	0.009943327459238024	0.021754986010569317	0.01039550427578017	1.8415393421183015	0.010038390776061055	0.009859296909376963	0.009943327459238024	0.012671895954350535	0.009300226479804117	0.00903407694845817	0.010356354731407454	0.009343676191531295	0.011187280140497732	0.00942838477238339	0.009303554413351962	0.010145370535101495	0.009323572138449917	1.4086001536388641	1.3152990552291115	0.0338608651209589	0.01353473748591718	0.012811699433156052	0.012655476845001233	0.012537605395878875	1.263081984891115	0.0003558296828695428	0.0018015321678140272	0.0007072969992553966	0.0005979669441733557	0.0010668565099071587	0.0010676158386403014	0.024571630349768135
